Product Name,Category,Dosage Form,Price,Trademark,Brand Origin,Country,Rating
"Kem chống nắng SVR Sebiaclear Creme SPF50+ dưỡng da dùng cho da hỗn hợp, da dầu và da nhạy cảm (40ml)",Kem chống nắng da mặt,Dạng kem,530000.0,SVR,Pháp,Pháp,4.6
"Kem dưỡng tái tạo Sebamed Anti-Redness Regenerating Intensive Care cho da nhạy cảm, da dễ bị đỏ (50ml)","Sữa dưỡng thể, kem dưỡng thể",Dạng kem,655000.0,Sebamed,Đức,Đức,NULL
"Lotion Fixderma Preggers Elasticity dưỡng ẩm, giảm vết rạn cho phụ nữ mang thai và sau khi sinh (100ml)","Sữa dưỡng thể, kem dưỡng thể",Dạng kem,220000.0,Fixderma,Mỹ,Ấn Độ,NULL
"Kem bôi da Thuần Mộc Thanh Mộc Hương 21g Hòa Bình dưỡng ẩm, làm mềm da, làm dịu mát da","Sữa dưỡng thể, kem dưỡng thể",Dạng kem,150000.0,Thanh Mộc Hương,Việt Nam,Việt Nam,NULL
Dung dịch Gynofar 500ml Pharmedic vệ sinh cơ quan sinh dục ngoài,Chăm sóc cơ thể,Dung dịch,22000.0,Pharmedic,Việt Nam,Việt Nam,5.0
"Nước tắm gội thảo dược Dr.Papie Starmed làm sạch, làm dịu mát da, chăm sóc và bảo vệ da bé (230ml)","Sữa tắm, xà bông",Dung dịch,121500.0,DR. PAPIE,Việt Nam,Việt Nam,5.0
"Dầu gội dược liệu Thái Dương 7 Plus Gold Sao Thái Dương sạch gàu, giảm ngứa và rụng tóc (250ml)",Dầu gội dầu xả,Dung dịch,150000.0,Sao Thái Dương,Việt Nam,Việt Nam,NULL
"Gel Actidem Derma giúp ngăn ngừa mụn, làm mờ vết thâm (18g)",Chăm sóc da mặt,Nhũ tương (Gel),138000.0,ACTIDEM,Việt Nam,Việt Nam,4.9
Kem dưỡng da La Roche-Posay Cicaplast Baume B5+ hỗ trợ làm dịu và phục hồi làn da (40ml),"Sữa dưỡng thể, kem dưỡng thể",Dạng kem,312000.0,Laroche posay,Pháp,Pháp,5.0
Sữa rửa mặt dịu nhẹ Cetaphil Gentle Skin Cleanser cung cấp độ ẩm cho da (500ml),"Sữa rửa mặt (Kem, gel, sữa)",Nhũ tương (Gel),345100.0,Cetaphil,Thụy Sĩ,Canada,5.0
Sữa rửa mặt dịu nhẹ Cetaphil Gentle Skin Cleanser cung cấp độ ẩm cho da (125ml),"Sữa rửa mặt (Kem, gel, sữa)",Nhũ tương (Gel),137700.0,Cetaphil,Canada,Canada,4.9
"Gel Hiruscar Medinova điều trị sẹo lõm, sẹo lồi do phẫu thuật (5g)","Trị sẹo, mờ vết thâm",Nhũ tương (Gel),136000.0,Medinova,Thụy Sĩ,Thái Lan,5.0
"Gel Megaduo hỗ trợ ngừa mụn trứng cá, ngừa thâm, dưỡng da (15g)","Kem trị mụn, gel trị mụn",Nhũ tương (Gel),125000.0,GAMMA,Việt Nam,Việt Nam,4.8
"Kem Vaseline Pure OPC phòng nứt môi, khô môi, nứt da bàn chân, bàn tay (10g)",Trị nứt da,Dạng kem,18000.0,Opc,NULL,Việt Nam,NULL
"Gel làm sạch da và kháng khuẩn Subạc Spaphar tái tạo da, ngăn ngừa sẹo (25g)",Viêm da cơ địa,Gel,150000.0,SPAPHAR,Ấn Độ,Việt Nam,5.0
Dầu gội chống gàu Selsun Anti-Dandruff Shampoo Rohto sạch gàu và hết ngứa da đầu (100ml),Dầu gội trị nấm,Dung dịch,81600.0,Rohto,Nhật Bản,Việt Nam,5.0
"Kem dưỡng ẩm Vaseline Pure OPC hương dâu phòng nứt môi, khô môi, nứt da bàn chân, bàn tay (10g)",Son môi,Dạng kem,22000.0,Opc,NULL,Việt Nam,5.0
Xịt dung dịch Towders Spray Ocean Pharma làm sạch các loại ký sinh trùng khỏi da (150ml),Chăm sóc cơ thể,Dạng xịt,255000.0,Quang Xanh,Việt Nam,Việt Nam,4.7
"Kem Towders Cream Quang Xanh hỗ trợ phòng ngừa muỗi, ghẻ,  chấy và giữ ẩm, mềm mịn da (15g)",Chăm sóc cơ thể,Dạng kem,83000.0,Quang Xanh,Việt Nam,Việt Nam,5.0
Dầu dừa làm đẹp Coconut Beautifying Oil da căng tóc mượt (50ml),Dầu dừa,Dung dịch,98000.0,Sense Plus,Việt Nam,Việt Nam,NULL
"Kem dưỡng ẩm Latopic Face And Body Cream làm dịu ngứa da dị ứng, kích ứng da, giảm thô ráp da (75ml)","Sữa dưỡng thể, kem dưỡng thể",Dạng kem,379000.0,LATOPIC,Ba Lan,Ba Lan,5.0
Sáp dưỡng môi Vaseline Lip Care Rosy Lips bảo vệ môi khỏi những tác động của thời tiết (7g),Son môi,Dạng sáp,78000.0,Vaseline,Hàn Quốc,Hàn Quốc,5.0
"Gel Megaduo Plus giúp ngừa mụn trứng cá, ngừa thâm, dưỡng da (15g)","Kem trị mụn, gel trị mụn",Nhũ tương (Gel),128000.0,GAMMA,Việt Nam,Việt Nam,4.9
"Dầu gội dược liệu Nguyên Xuân hương hoa sạch gàu, hết ngứa, cân bằng lượng dầu, giảm tóc gãy rụng (250ml)",Dầu gội dầu xả,Dung dịch,107000.0,Nguyên Xuân,Việt Nam,Việt Nam,5.0
"Dầu Dừa Tươi Raw Virgin Coconut Oil Coboté 50ml dưỡng ẩm da, dưỡng tóc, chăm sóc răng miệng",Chăm sóc cơ thể,Dung dịch,90000.0,NULL,Việt Nam,Việt Nam,NULL
"Dầu Massage Cho Bé Nourish & Care Baby Oil Coboté 50ml dưỡng ẩm, dịu vết công trùng cắn, giảm rôm sảy, cứt trâu",Chăm sóc cơ thể,Dung dịch,139000.0,NULL,Việt Nam,Việt Nam,NULL
"Nước súc miệng kháng khuẩn Pharmedic Orafar 250ml ngừa sâu răng, bảo vệ men răng",Chăm sóc cơ thể,Dung dịch,20000.0,Pharmedic,Việt Nam,Việt Nam,NULL
"Kem thoa Lancopharm Atopic Derma Cream 50g dùng cho người bị vảy nến, á sừng, viêm da thần kinh",Viêm da cơ địa,Kem,325000.0,LANCOPHARM,Đức,Đức,NULL
Kem vệ sinh Ziaja Intimate bổ sung Lactobionic Acid giúp ngăn ngừa tình trạng viêm nhiễm phụ khoa (200ml),Chăm sóc cơ thể,Dạng kem,230000.0,Ziaja,Ba Lan,Ba Lan,NULL
Kem dưỡng ẩm Neutrogena Hydro Boost Water Gel (50g),Dưỡng da mặt,Dạng kem,307310.0,Johnson & Johnson,Hoa Kỳ,Hàn Quốc,4.5
"Kem giảm thâm Hebe Effective Whitening Cream La Beaute hỗ trợ giảm thâm vùng nách, vùng kín (35g)","Da sạm, xỉn màu",Dạng kem,129000.0,La Beauty,Việt Nam,Việt Nam,5.0
"Kem Alvextra Skin Hydrating Cream Tanida dưỡng ẩm da tay, gót chân, giảm sạm da, vết thâm nám (50g)","Dưỡng da bị khô, thiếu ẩm",Dạng kem,68000.0,Tanida,Việt Nam,Việt Nam,5.0
Kem dưỡng ẩm Ceradan Ceramide Hydra Moisturiser dành cho da khô và nhạy cảm (30g),"Dưỡng da bị khô, thiếu ẩm",Dạng kem,170000.0,Hyphens,Singapore,Singapore,5.0
"Dầu dưỡng da Bio-Oil Specialist Skincare Oil chăm sóc da bị sẹo, vết rạn, da không đều màu (60ml)",Trị nứt da,Dạng dầu,189000.0,Bio-Oil,Nam Phi,Nam Phi,5.0
"Viên nang mềm NNO Vite Whitening Serum hỗn hợp làm trắng da, giảm kích ứng da và cải thiện tình trạng da (3 vỉ x 10 viên)","Serum, Essence hoặc Ampoule",Dạng kem,306000.0,MEGA We care,Thái Lan,Thái Lan,5.0
Sáp dưỡng môi Vaseline Lip Therapy bảo vệ môi khỏi những tác động của thời tiết (7g),Son môi,Dạng sáp,78000.0,Vaseline,Hàn Quốc,Hàn Quốc,5.0
"Kem Ceratop Body Care Cream 125ml Dr.EA dưỡng da, giữ ẩm, bảo vệ da","Sữa dưỡng thể, kem dưỡng thể",Kem,450000.0,Dr.EA,Thổ Nhĩ Kỳ,Thổ Nhĩ Kỳ,5.0
"Dầu gội Dược liệu Nguyên Xuân Vàng Hoa Linh 275ml giảm gãy rụng, tóc khô và xơ",Dầu gội dầu xả,Dung dịch,107000.0,Nguyên Xuân,Việt Nam,Việt Nam,NULL
Kem chống hăm tã Calendula Diaper Cream Cetaphil giúp chăm sóc da và làm dịu hăm tã cho bé (70g),Chăm sóc cơ thể,Kem,185610.0,Cetaphil,Canada,Pháp,5.0
Dầu gội làm sạch gàu Vichy Laboratoires Dercos Technique Anti-Dandruff Ds Dermatological (75ml),Dầu gội dầu xả,Dung dịch,128000.0,Vichy,Pháp,Tây Ban Nha,NULL
Sữa tắm Ceradan Moisturising Wash 280ml dùng cho mọi vùng da kể cả da mặt,"Sữa tắm, xà bông",Nhũ tương (Gel),272000.0,Ceradan,Singapore,Singapore,NULL
"Kem chống nắng Defender UV Serum Invisible Fluid L’Oréal SPF50+ và PA++++ giúp ngăn ngừa lão hóa, đốm nâu (50ml)",Kem chống nắng da mặt,Serum,379000.0,Loreal,Pháp,Indonesia,5.0
Kem hỗ trợ điều trị mụn Effaclar Duo+M Laroche posay giảm mụn trong vòng 8 giờ (40ml),Chăm sóc da mặt,Dạng kem,384000.0,Laroche posay,Pháp,Pháp,5.0
"Kem bôi Fuginex Cream Dizigone 25g Terrapharm giúp làm sạch, kháng khuẩn, làm dịu da",Viêm da cơ địa,Kem,140000.0,Terrapharm,Việt Nam,Việt Nam,NULL
Sữa rửa mặt và toàn thân Adaphil Gentle Skin Cleanser giúp làm sạch và dưỡng da (500ml),"Sữa rửa mặt (Kem, gel, sữa)",Dung dịch,215000.0,GAMMA,Việt Nam,Việt Nam,NULL
"Gel Actidem Derma giúp ngăn ngừa mụn, làm mờ vết thâm (40g)",Chăm sóc da mặt,Nhũ tương (Gel),209000.0,ACTIDEM,Việt Nam,Việt Nam,5.0
Kem bôi da Ceradan Advanced Moisturising Skin Barrier Cream 30g dưỡng ẩm và giúp phục hồi da khô,"Sữa dưỡng thể, kem dưỡng thể",Dạng kem,308000.0,Ceradan,Singapore,Singapore,NULL
"Xà phòng tắm Atids Salicylic Acid 2% + Sulfur làm sạch da, thích hợp cho da dầu, da mụn (80g)","Sữa tắm, xà bông",Dạng sáp,95000.0,ASAN C&S,Hàn Quốc,Hàn Quốc,NULL
Sữa chống nắng dạng xịt Banana Boat Sport Ultra Suncreen Continuos Spray SPF 100 PA++++ (170g),Chống nắng toàn thân,Dạng xịt,223200.0,Banana Boat,Hoa Kỳ,Hoa Kỳ,NULL
Gel sữa chống nắng Senka Perfect UV Gel N SPF 50+ PA++++ dành cho mặt và toàn thân (80ml),Chống nắng toàn thân,Nhũ tương (Gel),160300.0,Senka,Nhật Bản,Nhật Bản,5.0
